,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
0,TCS,Public,"Mumbai,Maharashtra + 244 more",54 years old,1 Lakh+ Employees (India),(41.9k Reviews),3.9
1,Accenture,Public,"Dublin,Dublin + 132 more",33 years old,1 Lakh+ Employees (India),(27.9k Reviews),4.1
2,Cognizant,Private,"Teaneck,New Jersey + 88 more",28 years old,1 Lakh+ Employees (India),(25.3k Reviews),4
3,ICICI Bank,Public,"Mumbai,Maharashtra + 996 more",28 years old,50k-1 Lakh Employees (India),(32.2k Reviews),4
4,Wipro,Public,"Bangalore/Bengaluru,Karnataka + 254 more",77 years old,1 Lakh+ Employees (India),(23.8k Reviews),3.9
5,HDFC Bank,Public,"Mumbai,Maharashtra + 1118 more",28 years old,1 Lakh+ Employees (India),(33.3k Reviews),4
6,Capgemini,Public,Paris + 71 more,55 years old,1 Lakh+ Employees (India),(20.5k Reviews),3.9
7,HCL Technologies,Public,"Noida,Uttar Pradesh + 159 more",46 years old,1 Lakh+ Employees (India),(20.1k Reviews),3.9
8,Infosys,Public,"Bangalore/Bengaluru,Karnataka + 118 more",41 years old,1 Lakh+ Employees (India),(24.1k Reviews),4
9,Tech Mahindra,Public,"Pune,Maharashtra + 184 more",36 years old,50k-1 Lakh Employees (India),(18.7k Reviews),3.7
10,Genpact,Private,"New York,New York + 61 more",25 years old,50k-1 Lakh Employees (India),(18.8k Reviews),4
11,Axis Bank,Public,"Mumbai,Maharashtra + 1000 more",29 years old,50k-1 Lakh Employees (India),(17k Reviews),3.9
12,IBM,Public,"Armonk,New York + 108 more",111 years old,1 Lakh+ Employees (India),(13.9k Reviews),4.2
13,Concentrix Corpo...,Public,"Fremont,California + 63 more",39 years old,10k-50k Employees (India),(13.4k Reviews),4.1
14,Amazon,Private,"Seattle,Washington + 329 more",28 years old,1 Lakh+ Employees (India),(13.3k Reviews),4.2
